title,description,author,date
Pakistan lawyers in violent hospital protest,,,12/12/2019 17:33
Patients die as lawyers ransack Pakistan hospital,Three patients died when lawyers attacked a cardiac hospital in Lahore in a dispute with doctors.,,12/12/2019 17:08
'Box office' cricket returns to Pakistan,Cricket-starved Pakistan fans can now cheer on their own players for the first time in 10 years as Test cricket returns to the country.,By Aatif Nawaz,12/11/2019 18:12
Pakistan impress as Test cricket returns,Pakistan enjoy a good day with the ball as Test cricket returns to the country for the first time since 2009.,,12/11/2019 16:46
1.9 billion people rely on natural 'water towers',A new study ranks the importance and vulnerability of high-mountain stores of water.,By Jonathan Amos,12/11/2019 15:38
'People died getting us to a cricket match. We were lucky to survive',"Ten years on from the attack on Sri Lanka's cricket team bus in Pakistan, Trevor Bayliss and Paul Farbrace explain how they survived.",,12/10/2019 18:31
What does it mean for Pakistan to host first Test in 10 years?,"As Pakistan prepare to play their first Test at home since 2009, BBC Sport explores what it means for a country where cricket is ""like a religion"".",By Kal Sajad,12/10/2019 16:14
Cricketer admits bribery conspiracy,Ex-Pakistan international Nasir Jamshed was initially the target of bribery but then acted as a go-between.,,12/9/2019 23:12
Sri Lanka arrive for Pakistan Test series,Sri Lanka arrive in Pakistan for the hosts' first Test in their own country since a 2009 gun attack in which eight people died.,,12/9/2019 22:08
Paramedic 'stole baby to give to childless aunt',"The little girl was one of a set of twins, the other of whom died just days after they were born.",By Mohammad Kazim,12/9/2019 19:17
Nottinghamshire sign Pakistan's Abbas,Pakistan pace bowler Mohammad Abbas joins Nottinghamshire for their first nine County Championship games of 2020.,,12/9/2019 17:35
Typhoid vaccine 'works fantastically well',The jab is being given to nine million children in Pakistan at risk of a dangerous form of the infection.,By James Gallagher,12/5/2019 3:05
Slut-shamed for being abducted at gunpoint,Dua Mangi was kidnapped and then vilified as an immodestly dressed hate figure who deserved it.,By Riaz Sohail,12/4/2019 5:49
Two men admit offering cricketers bribes,Yousef Anwar and Mohammed Ijaz were arrested as part of an investigation into alleged spot-fixing.,,12/2/2019 22:16
Thirteen Pakistanis die in Jordan farm fire,Eight children are among those killed after a blaze tore through iron sheds housing migrants workers.,,12/2/2019 19:39
'Our children's lives are at stake',,,11/25/2019 7:23
Outrage after feminism panel includes no women,Pakistan's Arts Council backtracks after it's derided for inviting a men-only panel on feminism.,By Riaz Sohail,11/22/2019 5:23
"Naseem, 16, to make Pakistan Test debut",Sixteen-year-old pace bowler Naseem Shah will make his Pakistan debut in the opening Test against Australia in Brisbane this week.,,11/20/2019 17:44
Ex-PM leaves Pakistan in 'high end' air ambulance,"Imran Khan's government was reluctant to release Sharif, but a court ruled in the ex-PM's favour.",,11/19/2019 12:00
Sikhs celebrate their founder's 550th birthday,Devotees gather in India and Pakistan for the 550th birthday of Sikhism's founder Guru Nanak.,,11/12/2019 21:20
The teens fighting to save a city from toxic air,Three students launch a bid to tackle Pakistan's government head-on in the fight against pollution.,By Abid Hussain,11/10/2019 6:02
India pilgrims in historic trip to Pakistan temple,The Kartarpur corridor leads from the Indian border straight to a holy Sikh temple in Pakistan.,,11/9/2019 15:04
"'Kartarpur can change south Asia', says Pakistan FM",,,11/9/2019 13:47
India and Pakistan open corridor to Sikh temple,,,11/9/2019 5:19
IMF releases Pakistan funds,,,11/8/2019 21:46
Who's to blame for Pakistan's toxic air?,Pakistani politicians believe polluted air from India is crossing the border - is this true?,By Reality Check team,11/8/2019 10:56
UK author calls India citizenship loss 'sinister',"Aatish Taseer loses citizenship, months after an article critical of India PM Narendra Modi.",,11/8/2019 9:47
Sisters-in-law's 'joint suicide' investigated,"The bodies of the women, one of whom had a baby, were found on a farm in Pakistan's southern desert.",By M Ilyas Khan,11/6/2019 5:26
Why no women were marching against Imran Khan,Tens of thousands of men poured into Pakistan's capital for an anti-government rally - but no women.,By Flora Drury,11/2/2019 6:45
Are Pakistan's railways more dangerous than ever?,Pakistan has a history of fatal railway accidents.,By Reality Check team,11/1/2019 5:25
Dozens die in Pakistan train inferno,Officials say the fire erupted after passengers used a gas canister to cook food on board.,,11/1/2019 5:13
Aftermath of deadly Pakistan train fire,,,10/31/2019 17:04
The price of speaking out against police killings,Artist Adeela Suleman was inspired by the death of one young man. The authorities felt differently.,By Flora Drury,10/31/2019 5:44
Rivals sign landmark Sikh temple corridor deal,The new border entry point will allow Indian Sikh pilgrims visa-free access to a shrine in Pakistan.,,10/24/2019 14:23
Treating breast cancer when you can't say 'breast',Pakistan has rising breast cancer rates but early detection is hampered by taboos over sexuality.,By Shabnam Mahmood,10/24/2019 4:16
"Pakistan security work keeps UK safe, says William",The Duke and Duchess of Cambridge tour an army dog training school on the last day of their tour.,,10/18/2019 20:34
Sarfaraz sacked as Pakistan captain,Pakistan sack Sarfaraz Ahmed as their Test and Twenty20 captain and replace him with Azhar Ali and Babar Azam.,,10/18/2019 13:25
Duchess bowls over royal fans on Pakistan tour,The Duke and Duchess of Cambridge take to the crease on the fourth day of their visit to the country.,,10/18/2019 6:29
Kate plays cricket: What happens next?,,,10/18/2019 6:29
Royal plane aborts landing after Pakistan storms,An RAF aircraft carrying the Duke and Duchess of Cambridge twice tried to land in Islamabad.,,10/17/2019 22:02
Royals urge climate change action on glacier visit,The Duke of Cambridge calls for more education and awareness during a visit to northern Pakistan.,,10/16/2019 19:06
Kate's Pakistan outfits draw Diana comparisons,Is the Duchess of Cambridge putting a modern twist on garments the Princess of Wales wore years ago?,,10/16/2019 18:11
William and Kate take auto rickshaw to reception,The royal pair make a colourful entrance at the Pakistan Monument in Islamabad.,,10/16/2019 1:24
‘I take out anger and sadness through art’,,,10/13/2019 4:03
UK charges 'hate speech' politician with terrorism,The founder of one of Pakistan's biggest political parties is charged with a terrorism offence.,,10/10/2019 21:12
Who's to blame for Pakistan's toxic air?,Pakistani politicians believe polluted air from India is crossing the border - is this true?,By Reality Check team,11/8/2019 10:56
UK author calls India citizenship loss 'sinister',"Aatish Taseer loses citizenship, months after an article critical of India PM Narendra Modi.",,11/8/2019 9:47
Sisters-in-law's 'joint suicide' investigated,"The bodies of the women, one of whom had a baby, were found on a farm in Pakistan's southern desert.",By M Ilyas Khan,11/6/2019 5:26
Why no women were marching against Imran Khan,Tens of thousands of men poured into Pakistan's capital for an anti-government rally - but no women.,By Flora Drury,11/2/2019 6:45
Are Pakistan's railways more dangerous than ever?,Pakistan has a history of fatal railway accidents.,By Reality Check team,11/1/2019 5:25
Dozens die in Pakistan train inferno,Officials say the fire erupted after passengers used a gas canister to cook food on board.,,11/1/2019 5:13
Aftermath of deadly Pakistan train fire,,,10/31/2019 17:04
The price of speaking out against police killings,Artist Adeela Suleman was inspired by the death of one young man. The authorities felt differently.,By Flora Drury,10/31/2019 5:44
Rivals sign landmark Sikh temple corridor deal,The new border entry point will allow Indian Sikh pilgrims visa-free access to a shrine in Pakistan.,,10/24/2019 14:23
Treating breast cancer when you can't say 'breast',Pakistan has rising breast cancer rates but early detection is hampered by taboos over sexuality.,By Shabnam Mahmood,10/24/2019 4:16
"Pakistan security work keeps UK safe, says William",The Duke and Duchess of Cambridge tour an army dog training school on the last day of their tour.,,10/18/2019 20:34
Sarfaraz sacked as Pakistan captain,Pakistan sack Sarfaraz Ahmed as their Test and Twenty20 captain and replace him with Azhar Ali and Babar Azam.,,10/18/2019 13:25
Duchess bowls over royal fans on Pakistan tour,The Duke and Duchess of Cambridge take to the crease on the fourth day of their visit to the country.,,10/18/2019 6:29
Kate plays cricket: What happens next?,,,10/18/2019 6:29
Royal plane aborts landing after Pakistan storms,An RAF aircraft carrying the Duke and Duchess of Cambridge twice tried to land in Islamabad.,,10/17/2019 22:02
Royals urge climate change action on glacier visit,The Duke of Cambridge calls for more education and awareness during a visit to northern Pakistan.,,10/16/2019 19:06
Kate's Pakistan outfits draw Diana comparisons,Is the Duchess of Cambridge putting a modern twist on garments the Princess of Wales wore years ago?,,10/16/2019 18:11
William and Kate take auto rickshaw to reception,The royal pair make a colourful entrance at the Pakistan Monument in Islamabad.,,10/16/2019 1:24
‘I take out anger and sadness through art’,,,10/13/2019 4:03
UK charges 'hate speech' politician with terrorism,The founder of one of Pakistan's biggest political parties is charged with a terrorism offence.,,10/10/2019 21:12
The beach strewn with needles and blood,Pakistani authorities cordon off a Karachi beach after it was strewn with medical waste.,By Flora Drury,9/3/2019 21:27
Medical waste strewn across Karachi's beach,,,9/3/2019 21:10
The many faces of Imran Khan,Pakistan's cricketer-turned-PM has had success abroad but struggled at home during a tough year in office.,By Abid Hussain,8/25/2019 4:22
Parents fail to free sons over daughter's murder,A Pakistani court rejects their bid to free the accused killers of social media star Qandeel Baloch.,,8/22/2019 16:57
Why India wants to break its decades-old nuclear pledge,"India's re-evaluation of its ""no first use"" nuclear pledge has implications for peace in South Asia.",,8/22/2019 8:03
Pakistan to seek world court ruling on Kashmir,It plans to take its dispute with India over the territory to to the International Court of Justice.,,8/21/2019 1:23
Teenage brothers win seven-year deportation fight,The Glasgow schoolboys fled Pakistan with their parents after threats from Islamic extremists.,,8/16/2019 18:39
Pakistan's Hafeez joins Middlesex for Blast,Pakistan's veteran all-rounder Mohammad Hafeez joins Middlesex for the rest of their T20 Blast group games.,,8/13/2019 20:25
'Even I will pick up a gun': Inside Kashmir's lockdown,A sense of deep betrayal by the Indian government is fuelling anger in the Muslim-majority valley.,,8/10/2019 4:25
Pakistan opposition politician Maryam Sharif held,"Ms Sharif, detained by an anti-corruption watchdog, has been a vocal critic of Prime Minister Imran Khan.",,8/8/2019 19:06
Hundreds detained in Kashmir as anger grows,"Politicians, activists, business leaders and professors are said to be among those being held.",,8/8/2019 16:25
Why India and Pakistan fight over Kashmir,They fought two wars over it and are now nuclear armed - but what's at the root of the dispute?,,8/8/2019 12:41
Pakistan downgrades ties with India in Kashmir row,The row over Kashmir deepens as Pakistan expels India's high commissioner and suspends trade.,,8/7/2019 21:03
Pakistan vows to fight 'illegal' Kashmir decision,Imran Khan says he could take India's decision to revoke autonomy to the UN Security Council.,,8/7/2019 12:28
What happened in Kashmir and why it matters,India is re-defining its relationship with Kashmir after seven decades. Here's what you need to know.,,8/6/2019 15:14
'Modi's Kashmir move will fuel resentment',Removing Kashmir's special status will please the BJP rank and file but risks unleashing fresh volatility.,By Andrew Whitehead,8/5/2019 20:46
'India has betrayed Kashmir',Former Jammu and Kashmir Chief Minister Mehbooba Mufti responds to the curbing of the state's autonomy.,,8/5/2019 17:20
Why a special law on Kashmir is controversial,Article 35A of the constitution has long been a source of contention in India. Here's why.,,8/5/2019 8:59
"Pakistan army plane crashes into houses, killing 18","Witnesses say the aircraft crashed into a residential area in the early hours, igniting a blaze.",,7/30/2019 12:53
Pakistan military plane crash destroys homes,,,7/30/2019 8:36
The beach strewn with needles and blood,Pakistani authorities cordon off a Karachi beach after it was strewn with medical waste.,By Flora Drury,9/3/2019 21:27
Medical waste strewn across Karachi's beach,,,9/3/2019 21:10
The many faces of Imran Khan,Pakistan's cricketer-turned-PM has had success abroad but struggled at home during a tough year in office.,By Abid Hussain,8/25/2019 4:22
Parents fail to free sons over daughter's murder,A Pakistani court rejects their bid to free the accused killers of social media star Qandeel Baloch.,,8/22/2019 16:57
Why India wants to break its decades-old nuclear pledge,"India's re-evaluation of its ""no first use"" nuclear pledge has implications for peace in South Asia.",,8/22/2019 8:03
Pakistan to seek world court ruling on Kashmir,It plans to take its dispute with India over the territory to to the International Court of Justice.,,8/21/2019 1:23
Teenage brothers win seven-year deportation fight,The Glasgow schoolboys fled Pakistan with their parents after threats from Islamic extremists.,,8/16/2019 18:39
Pakistan's Hafeez joins Middlesex for Blast,Pakistan's veteran all-rounder Mohammad Hafeez joins Middlesex for the rest of their T20 Blast group games.,,8/13/2019 20:25
'Even I will pick up a gun': Inside Kashmir's lockdown,A sense of deep betrayal by the Indian government is fuelling anger in the Muslim-majority valley.,,8/10/2019 4:25
Pakistan opposition politician Maryam Sharif held,"Ms Sharif, detained by an anti-corruption watchdog, has been a vocal critic of Prime Minister Imran Khan.",,8/8/2019 19:06
Hundreds detained in Kashmir as anger grows,"Politicians, activists, business leaders and professors are said to be among those being held.",,8/8/2019 16:25
Why India and Pakistan fight over Kashmir,They fought two wars over it and are now nuclear armed - but what's at the root of the dispute?,,8/8/2019 12:41
Pakistan downgrades ties with India in Kashmir row,The row over Kashmir deepens as Pakistan expels India's high commissioner and suspends trade.,,8/7/2019 21:03
Pakistan vows to fight 'illegal' Kashmir decision,Imran Khan says he could take India's decision to revoke autonomy to the UN Security Council.,,8/7/2019 12:28
What happened in Kashmir and why it matters,India is re-defining its relationship with Kashmir after seven decades. Here's what you need to know.,,8/6/2019 15:14
'Modi's Kashmir move will fuel resentment',Removing Kashmir's special status will please the BJP rank and file but risks unleashing fresh volatility.,By Andrew Whitehead,8/5/2019 20:46
'India has betrayed Kashmir',Former Jammu and Kashmir Chief Minister Mehbooba Mufti responds to the curbing of the state's autonomy.,,8/5/2019 17:20
Why a special law on Kashmir is controversial,Article 35A of the constitution has long been a source of contention in India. Here's why.,,8/5/2019 8:59
"Pakistan army plane crashes into houses, killing 18","Witnesses say the aircraft crashed into a residential area in the early hours, igniting a blaze.",,7/30/2019 12:53
Pakistan military plane crash destroys homes,,,7/30/2019 8:36
The beach strewn with needles and blood,Pakistani authorities cordon off a Karachi beach after it was strewn with medical waste.,By Flora Drury,9/3/2019 21:27
Medical waste strewn across Karachi's beach,,,9/3/2019 21:10
The many faces of Imran Khan,Pakistan's cricketer-turned-PM has had success abroad but struggled at home during a tough year in office.,By Abid Hussain,8/25/2019 4:22
Parents fail to free sons over daughter's murder,A Pakistani court rejects their bid to free the accused killers of social media star Qandeel Baloch.,,8/22/2019 16:57
Why India wants to break its decades-old nuclear pledge,"India's re-evaluation of its ""no first use"" nuclear pledge has implications for peace in South Asia.",,8/22/2019 8:03
Pakistan to seek world court ruling on Kashmir,It plans to take its dispute with India over the territory to to the International Court of Justice.,,8/21/2019 1:23
Teenage brothers win seven-year deportation fight,The Glasgow schoolboys fled Pakistan with their parents after threats from Islamic extremists.,,8/16/2019 18:39
Pakistan's Hafeez joins Middlesex for Blast,Pakistan's veteran all-rounder Mohammad Hafeez joins Middlesex for the rest of their T20 Blast group games.,,8/13/2019 20:25
'Even I will pick up a gun': Inside Kashmir's lockdown,A sense of deep betrayal by the Indian government is fuelling anger in the Muslim-majority valley.,,8/10/2019 4:25
Pakistan opposition politician Maryam Sharif held,"Ms Sharif, detained by an anti-corruption watchdog, has been a vocal critic of Prime Minister Imran Khan.",,8/8/2019 19:06
Hundreds detained in Kashmir as anger grows,"Politicians, activists, business leaders and professors are said to be among those being held.",,8/8/2019 16:25
Why India and Pakistan fight over Kashmir,They fought two wars over it and are now nuclear armed - but what's at the root of the dispute?,,8/8/2019 12:41
Pakistan downgrades ties with India in Kashmir row,The row over Kashmir deepens as Pakistan expels India's high commissioner and suspends trade.,,8/7/2019 21:03
Pakistan vows to fight 'illegal' Kashmir decision,Imran Khan says he could take India's decision to revoke autonomy to the UN Security Council.,,8/7/2019 12:28
What happened in Kashmir and why it matters,India is re-defining its relationship with Kashmir after seven decades. Here's what you need to know.,,8/6/2019 15:14
'Modi's Kashmir move will fuel resentment',Removing Kashmir's special status will please the BJP rank and file but risks unleashing fresh volatility.,By Andrew Whitehead,8/5/2019 20:46
'India has betrayed Kashmir',Former Jammu and Kashmir Chief Minister Mehbooba Mufti responds to the curbing of the state's autonomy.,,8/5/2019 17:20
Why a special law on Kashmir is controversial,Article 35A of the constitution has long been a source of contention in India. Here's why.,,8/5/2019 8:59
"Pakistan army plane crashes into houses, killing 18","Witnesses say the aircraft crashed into a residential area in the early hours, igniting a blaze.",,7/30/2019 12:53
Pakistan military plane crash destroys homes,,,7/30/2019 8:36
'Cheeky' Pakistan ad ups ante before India match,The ad features an actor playing an Indian pilot who was captured by Pakistan earlier this year.,,6/12/2019 11:14
Pakistan MQM founder Altaf Hussain arrested in UK,The founder of one of the country's biggest parties is detained in London over speeches made in the UK.,,6/11/2019 18:52
Former Pakistan President Zardari arrested,Asif Ali Zardari was arrested over an investigation into alleged money laundering.,,6/10/2019 22:51
Pakistan ex-leader's supporters gather over arrest,,,6/10/2019 22:46
'Total team effort' by Pakistan - Hafeez,"Pakistan's 14-run win over England at Trent Bridge was a result of ""everyone chipping in"" says veteran all-rounder Mohammad Hafeez.",,6/4/2019 2:02
BA resumes flights to Pakistan,Flights to the country were suspended after a hotel bombing in 2008.,,6/2/2019 14:17
Uncovering Pakistan's secret human rights abuses,The BBC has gained rare access to victims of a long war against militants that has been waged out of sight.,By M Ilyas Khan,6/2/2019 4:01
Pakistan general gets life for spying,Lt Gen Javed Iqbal was among three people convicted for passing information to foreign agencies.,,5/31/2019 15:22
Pakistan Hindu vet charged with blasphemy,The vet allegedly wrapped medicine in pages from a school book containing Islamic religious text.,,5/28/2019 21:01
The Hindu foot soldier who became prime minister,Prime Minister Narendra Modi is a polarising politician who became India's most powerful leader in decades.,,5/23/2019 19:20
Outrage over Pakistan child killing,The father of a girl in Islamabad who was abducted and killed says police did little to find her.,,5/22/2019 18:08
HIV outbreak hits hundreds of children in Pakistan,"More than 600 people, 75% them children, have been identified as HIV positive in less than a month.",By Riaz Sohail,5/21/2019 20:44
The Pakistani brides being trafficked to China,Officials say gangs of Chinese criminals are trafficking Pakistani women under the guise of marriage.,By Saher Baloch,5/15/2019 4:04
Row as cricket star bans daughters from playing outdoor sports,,,5/13/2019 12:03
Pakistan secures $6bn lifeline from IMF,The country has faced a growing economic crisis with dwindling foreign currency reserves.,,5/13/2019 10:11
Gunmen killed five in Pakistan hotel,The three attackers were also killed in Saturday's siege at the Pearl-Continental in Gwadar.,,5/12/2019 18:35
Pakistan hotel attack gunmen shot dead,"A siege by three attackers at a luxury hotel in Gwadar ended after several hours, officials say.",,5/12/2019 10:47
Bomber targets police outside Sufi shrine,At least nine people die in a bomb attack next to a major shrine in the Pakistani city of Lahore.,,5/8/2019 20:51
Being 17 ... in Pakistan,,,5/8/2019 20:10
Asia Bibi flees Pakistan to safety,The Christian woman who spent years on death row convicted of blasphemy has left the country.,,5/8/2019 19:46
'Cheeky' Pakistan ad ups ante before India match,The ad features an actor playing an Indian pilot who was captured by Pakistan earlier this year.,,6/12/2019 11:14
Pakistan MQM founder Altaf Hussain arrested in UK,The founder of one of the country's biggest parties is detained in London over speeches made in the UK.,,6/11/2019 18:52
Former Pakistan President Zardari arrested,Asif Ali Zardari was arrested over an investigation into alleged money laundering.,,6/10/2019 22:51
Pakistan ex-leader's supporters gather over arrest,,,6/10/2019 22:46
'Total team effort' by Pakistan - Hafeez,"Pakistan's 14-run win over England at Trent Bridge was a result of ""everyone chipping in"" says veteran all-rounder Mohammad Hafeez.",,6/4/2019 2:02
BA resumes flights to Pakistan,Flights to the country were suspended after a hotel bombing in 2008.,,6/2/2019 14:17
Uncovering Pakistan's secret human rights abuses,The BBC has gained rare access to victims of a long war against militants that has been waged out of sight.,By M Ilyas Khan,6/2/2019 4:01
Pakistan general gets life for spying,Lt Gen Javed Iqbal was among three people convicted for passing information to foreign agencies.,,5/31/2019 15:22
Pakistan Hindu vet charged with blasphemy,The vet allegedly wrapped medicine in pages from a school book containing Islamic religious text.,,5/28/2019 21:01
The Hindu foot soldier who became prime minister,Prime Minister Narendra Modi is a polarising politician who became India's most powerful leader in decades.,,5/23/2019 19:20
Outrage over Pakistan child killing,The father of a girl in Islamabad who was abducted and killed says police did little to find her.,,5/22/2019 18:08
HIV outbreak hits hundreds of children in Pakistan,"More than 600 people, 75% them children, have been identified as HIV positive in less than a month.",By Riaz Sohail,5/21/2019 20:44
The Pakistani brides being trafficked to China,Officials say gangs of Chinese criminals are trafficking Pakistani women under the guise of marriage.,By Saher Baloch,5/15/2019 4:04
Row as cricket star bans daughters from playing outdoor sports,,,5/13/2019 12:03
Pakistan secures $6bn lifeline from IMF,The country has faced a growing economic crisis with dwindling foreign currency reserves.,,5/13/2019 10:11
Gunmen killed five in Pakistan hotel,The three attackers were also killed in Saturday's siege at the Pearl-Continental in Gwadar.,,5/12/2019 18:35
Pakistan hotel attack gunmen shot dead,"A siege by three attackers at a luxury hotel in Gwadar ended after several hours, officials say.",,5/12/2019 10:47
Bomber targets police outside Sufi shrine,At least nine people die in a bomb attack next to a major shrine in the Pakistani city of Lahore.,,5/8/2019 20:51
Being 17 ... in Pakistan,,,5/8/2019 20:10
Asia Bibi flees Pakistan to safety,The Christian woman who spent years on death row convicted of blasphemy has left the country.,,5/8/2019 19:46
'NZ attacker killed my whole family',,,3/21/2019 7:44
New Zealand mosque attacker 'acted alone',Others arrested after the attacks in Christchurch that killed 50 are not believed to be involved.,,3/17/2019 14:08
Brother hails NZ mosque victim 'hero',"Naeem Rashid tried to stop the gunman at Al Noor mosque, but was killed alongside his son.",,3/17/2019 2:03
Victim's brother 'has no words for pain',,,3/16/2019 20:16
First victim identified as anxious families wait for news,A missing persons list has been released as families use social media to search for their loved ones,,3/16/2019 4:11
Can PSL bring Pakistan in from cold?,Why the growth of the Pakistan Super League - and the continued safety of the foreign players in it - could return regular international cricket to the country.,By Mazher Arshad,3/16/2019 2:59
China blocks bid to call militant 'terrorist',"Masood Azhar's group attacked Indian forces in Kashmir, sending tensions spiralling with Pakistan.",,3/14/2019 11:37
Pakistan's Bollywood ban may backfire,Recent aerial hostilities between India and Pakistan have also taken a hit on Bollywood.,,3/13/2019 5:07
'Climbing feels natural' - Tom Ballard,,,3/12/2019 17:40
Recovery of climbers' bodies 'possible',The bodies of Briton Tom Ballard and Italian Daniele Nardi were identified on Saturday.,,3/11/2019 16:22
Bodies of missing climbers found,Briton Tom Ballard and Italian Daniele Nardi last made contact from a mountain in Pakistan two weeks ago.,,3/9/2019 22:18
Pakistan's dilemma over militants,"After a near-war in Kashmir, Pakistan is cracking down on anti-India militants. But how far can it go?",By Secunder Kermani,3/9/2019 5:27
'Girls should fight for their education',,,3/8/2019 18:40
Anger over 'honour killing' activist murder,Afzal's Kohistani's family - and activist groups - are calling for a high-level inquiry into his killing.,,3/8/2019 17:58
'Honour killing' whistleblower shot dead,Afzal Kohistani exposed the killing of women seen singing and clapping in a video of dancing men.,,3/7/2019 21:43
'Silhouettes' spotted in climber search,Tom Ballard and Daniele Nardi last made contact from Nanga Parbat in Pakistan 11 days ago.,,3/7/2019 21:09
Climbers assumed dead as search ends,"Tom Ballard and Daniele Nardi went missing on a peak in Pakistan dubbed ""killer mountain"".",,3/6/2019 22:38
Pakistan holds dozens after Kashmir attack,"Relatives of the founder of JeM, the group behind the deadly attack, are among 44 arrested.",,3/6/2019 16:35
Search for missing climbers resumes,"Briton Tom Ballard and Italian Daniele Nardi went missing on a peak dubbed ""Killer Mountain"" in Pakistan.",,3/5/2019 15:40
Search finds 'no sign' of missing climbers,Briton Tom Ballard and Italian Daniele Nardi went missing on a peak in Pakistan eight days ago.,,3/4/2019 21:25
Trevor Noah sorry for India-Pakistan joke,"In a TV episode, the comedian said that war between the two countries would be ""entertaining"".",,3/4/2019 12:54
Sheltering from shelling in Kashmir,,,3/4/2019 1:22
Thousands raised for missing climbers,Briton Tom Ballard and Italian Daniele Nardi went missing a week ago on on a peak in Pakistan.,,3/3/2019 20:51
Child born in Pakistan jail back in UK,"Khadija Shah, from Birmingham, was arrested at Islamabad airport in 2012 and gave birth behind bars.",,3/3/2019 17:20
Kashmir conflict in three minutes,,,3/3/2019 10:30
'People died getting us to a cricket match. We were lucky to survive’,"Ten years on from the attack on Sri Lanka's cricket team bus in Pakistan, Trevor Bayliss and Paul Farbrace explain how they survived.",,3/3/2019 5:01
More delays in search for missing climber,Bad weather halts the hunt for a British mountaineer who went missing on a peak in Pakistan.,,3/2/2019 16:45
Pakistan hands back captured Indian pilot,Abhinandan Varthaman's release is part of efforts by both countries to calm tensions over Kashmir.,,3/2/2019 3:40
Should India re-think Kashmir?,,,3/1/2019 23:14
Modi v Khan: Who won the propaganda battle?,"With tension between India and Pakistan expected to abate, who won the war of perception?",By Soutik Biswas,3/1/2019 22:53
Fighter pilot 'opened fire' before capture,The village chief in Pakistan-administered Kashmir who found the airman reveals how he was captured.,By M Ilyas Khan,3/1/2019 22:02
Who is captured Indian pilot Abhinandan?,The fighter pilot who has 16 years of experience is from the southern city of Chennai.,,3/1/2019 22:02
Indian pilot is freed by Pakistan,,,3/1/2019 21:53
Crowds gather for Indian pilot's release,Pakistan's move to return the airman from a downed jet comes amid tensions over disputed Kashmir.,,3/1/2019 20:22
Drone search for missing climbers delayed,"A new search was due to focus on a specific area of the peak which is known as ""Killer Mountain"" in Pakistan.",,3/1/2019 20:16
Life on each side of the Kashmir conflict,,,3/1/2019 11:32
Search team looking for British climber,"Tom Ballard went missing trying to reach the summit of a peak known as ""Killer Mountain"" in Pakistan.",,3/1/2019 0:27
India demands Pakistan release pilot,Tensions rise over a fighter pilot being held following an exchange of fire over disputed Kashmir.,,2/28/2019 8:41
Airlines reroute to avoid Pakistan,The closure of Pakistan's airspace has prompted several airlines to reroute or suspend services.,,2/27/2019 22:35
Climber missing on 'killer mountain',Tom Ballard was last heard from while trying to reach the summit of Nanga Parbat in Pakistan.,,2/27/2019 21:55
Trevor Noah sorry for India-Pakistan joke,"In a TV episode, the comedian said that war between the two countries would be ""entertaining"".",,3/4/2019 12:54
Sheltering from shelling in Kashmir,,,3/4/2019 1:22
Thousands raised for missing climbers,Briton Tom Ballard and Italian Daniele Nardi went missing a week ago on on a peak in Pakistan.,,3/3/2019 20:51
Child born in Pakistan jail back in UK,"Khadija Shah, from Birmingham, was arrested at Islamabad airport in 2012 and gave birth behind bars.",,3/3/2019 17:20
Kashmir conflict in three minutes,,,3/3/2019 10:30
'People died getting us to a cricket match. We were lucky to survive’,"Ten years on from the attack on Sri Lanka's cricket team bus in Pakistan, Trevor Bayliss and Paul Farbrace explain how they survived.",,3/3/2019 5:01
More delays in search for missing climber,Bad weather halts the hunt for a British mountaineer who went missing on a peak in Pakistan.,,3/2/2019 16:45
Pakistan hands back captured Indian pilot,Abhinandan Varthaman's release is part of efforts by both countries to calm tensions over Kashmir.,,3/2/2019 3:40
Should India re-think Kashmir?,,,3/1/2019 23:14
Modi v Khan: Who won the propaganda battle?,"With tension between India and Pakistan expected to abate, who won the war of perception?",By Soutik Biswas,3/1/2019 22:53
Fighter pilot 'opened fire' before capture,The village chief in Pakistan-administered Kashmir who found the airman reveals how he was captured.,By M Ilyas Khan,3/1/2019 22:02
Who is captured Indian pilot Abhinandan?,The fighter pilot who has 16 years of experience is from the southern city of Chennai.,,3/1/2019 22:02
Indian pilot is freed by Pakistan,,,3/1/2019 21:53
Crowds gather for Indian pilot's release,Pakistan's move to return the airman from a downed jet comes amid tensions over disputed Kashmir.,,3/1/2019 20:22
Drone search for missing climbers delayed,"A new search was due to focus on a specific area of the peak which is known as ""Killer Mountain"" in Pakistan.",,3/1/2019 20:16
Life on each side of the Kashmir conflict,,,3/1/2019 11:32
Search team looking for British climber,"Tom Ballard went missing trying to reach the summit of a peak known as ""Killer Mountain"" in Pakistan.",,3/1/2019 0:27
India demands Pakistan release pilot,Tensions rise over a fighter pilot being held following an exchange of fire over disputed Kashmir.,,2/28/2019 8:41
Airlines reroute to avoid Pakistan,The closure of Pakistan's airspace has prompted several airlines to reroute or suspend services.,,2/27/2019 22:35
Climber missing on 'killer mountain',Tom Ballard was last heard from while trying to reach the summit of Nanga Parbat in Pakistan.,,2/27/2019 21:55
Indian troops search for militants after Kashmir attack,,,2/18/2019 15:28
Pakistan country profile,"Provides an overview of Pakistan, including key events and facts about this Muslim majority state in South Asia.",,2/18/2019 14:21
Saudi Arabia 'is Pakistan's friend in need',,,2/18/2019 11:31
